date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:24	51313/51313	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2011:32:29%20GMT	https://jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/	E:/jiomart_shop/jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/index.html	(from https://jiomartshop.com/)
00:31:24	60331/60331	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2014:45:47%20GMT	https://jiomartshop.com/jio-recharge-plans-offers/	E:/jiomart_shop/jiomartshop.com/jio-recharge-plans-offers/index.html	(from https://jiomartshop.com/)
00:31:24	75201/75201	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2011:50:32%20GMT	https://jiomartshop.com/jiomart-order-tracking/	E:/jiomart_shop/jiomartshop.com/jiomart-order-tracking/index.html	(from https://jiomartshop.com/)
00:31:25	27950/27950	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jul%202020%2015:53:34%20GMT	https://jiomartshop.com/wp-content/cache/min/1/c64fc9680d90255d725b6894ce2c9166.js	E:/jiomart_shop/jiomartshop.com/wp-content/cache/min/1/c64fc9680d90255d725b6894ce2c9166.js	(from https://jiomartshop.com/)
00:31:27	39928/39928	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2014:22:48%20GMT	https://jiomartshop.com/about-us/	E:/jiomart_shop/jiomartshop.com/about-us/index.html	(from https://jiomartshop.com/)
00:31:28	54696/54696	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:14:08%20GMT	https://jiomartshop.com/jio-phone-3-price-booking-specifications/	E:/jiomart_shop/jiomartshop.com/jio-phone-3-price-booking-specifications/index.html	(from https://jiomartshop.com/)
00:31:28	40717/40717	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:14:16%20GMT	https://jiomartshop.com/disclaimer/	E:/jiomart_shop/jiomartshop.com/disclaimer/index.html	(from https://jiomartshop.com/)
00:31:28	58413/58413	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2012:03:38%20GMT	https://jiomartshop.com/jiomart-customer-care/	E:/jiomart_shop/jiomartshop.com/jiomart-customer-care/index.html	(from https://jiomartshop.com/)
00:31:28	83/83	---MC-	409	error ('Conflict')	text/html	date:Sun,%2012%20Jul%202020%2019:01:28%20GMT	https://jiomartshop.com/contact-us/	E:/jiomart_shop/jiomartshop.com/contact-us/index.html	(from https://jiomartshop.com/)
00:31:28	38995/38995	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jan%202020%2008:34:33%20GMT	https://jiomartshop.com/wp-content/uploads/2020/01/Jio-Mart-Offers.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/01/Jio-Mart-Offers.jpg	(from https://jiomartshop.com/jio-mart-offers/)
00:31:29	83/83	---MC-	409	error ('Conflict')	text/html	date:Sun,%2012%20Jul%202020%2019:01:29%20GMT	https://jiomartshop.com/xmlrpc.php	E:/jiomart_shop/jiomartshop.com/xmlrpc.php	(from https://jiomartshop.com/jio-mart-offers/)
00:31:29	42986/42986	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2011:33:47%20GMT	https://jiomartshop.com/privacy-policy/	E:/jiomart_shop/jiomartshop.com/privacy-policy/index.html	(from https://jiomartshop.com/)
00:31:30	30367/30367	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jul%202020%2015:53:36%20GMT	https://jiomartshop.com/wp-content/cache/min/1/c69bef2e2d72cb33c2ee28161edf6f51.js	E:/jiomart_shop/jiomartshop.com/wp-content/cache/min/1/c69bef2e2d72cb33c2ee28161edf6f51.js	(from https://jiomartshop.com/jio-mart-offers/)
00:31:31	8090/8090	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jio-mart-offers/feed/	E:/jiomart_shop/jiomartshop.com/jio-mart-offers/feed/index.html	(from https://jiomartshop.com/jio-mart-offers/)
00:31:32	82001/82001	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:15:40%20GMT	https://jiomartshop.com/author/jiomartshop/	E:/jiomart_shop/jiomartshop.com/author/jiomartshop/index.html	(from https://jiomartshop.com/jio-mart-offers/)
00:31:32	46122/46122	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:17:42%20GMT	https://jiomartshop.com/category/jio-mart-coupons/	E:/jiomart_shop/jiomartshop.com/category/jio-mart-coupons/index.html	(from https://jiomartshop.com/jio-mart-offers/)
00:31:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:30%20GMT	https://jiomartshop.com/?p=39	E:/jiomart_shop/jiomartshop.com/indexba52.html	(from https://jiomartshop.com/jio-mart-offers/)
00:31:32	33741/33741	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jan%202020%2011:25:00%20GMT	https://jiomartshop.com/wp-content/uploads/2020/01/Jio-Mart-Customer-Care-Number.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/01/Jio-Mart-Customer-Care-Number.jpg	(from https://jiomartshop.com/jio-mart-customer-care-number/)
00:31:32	59747/59747	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:06:34%20GMT	https://jiomartshop.com/jiomart-whatsapp-how-to-place-an-order/	E:/jiomart_shop/jiomartshop.com/jiomart-whatsapp-how-to-place-an-order/index.html	(from https://jiomartshop.com/jio-mart-offers/)
00:31:33	3894/3894	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2019:01:33%20GMT	https://jiomartshop.com/cdn-cgi/l/email-protection	E:/jiomart_shop/jiomartshop.com/cdn-cgi/l/email-protection.html	(from https://jiomartshop.com/jio-mart-customer-care-number/)
00:31:33	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f05f742-4d7%22	https://jiomartshop.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	E:/jiomart_shop/jiomartshop.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://jiomartshop.com/jio-mart-customer-care-number/)
00:31:35	12931/12931	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jio-mart-customer-care-number/feed/	E:/jiomart_shop/jiomartshop.com/jio-mart-customer-care-number/feed/index.html	(from https://jiomartshop.com/jio-mart-customer-care-number/)
00:31:36	132519/132519	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:17:31%20GMT	https://jiomartshop.com/jiomart-franchise-registration/	E:/jiomart_shop/jiomartshop.com/jiomart-franchise-registration/index.html	(from https://jiomartshop.com/jio-mart-offers/)
00:31:36	67620/67620	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2012:22:25%20GMT	https://jiomartshop.com/jiomart-jobs-vacancy/	E:/jiomart_shop/jiomartshop.com/jiomart-jobs-vacancy/index.html	(from https://jiomartshop.com/jio-mart-customer-care-number/)
00:31:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:34%20GMT	https://jiomartshop.com/?p=35	E:/jiomart_shop/jiomartshop.com/index5c90.html	(from https://jiomartshop.com/jio-mart-customer-care-number/)
00:31:36	17076/17076	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jan%202020%2008:22:13%20GMT	https://jiomartshop.com/wp-content/uploads/2020/01/JioMart-Distributor-Register.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/01/JioMart-Distributor-Register.jpg	(from https://jiomartshop.com/jiomart-distributor-registration/)
00:31:36	37373/37373	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jun%202020%2009:35:25%20GMT	https://jiomartshop.com/wp-content/uploads/2020/06/JioMart-Order-Tracking.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/06/JioMart-Order-Tracking.jpg	(from https://jiomartshop.com/jiomart-order-tracking/)
00:31:39	80369/80369	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:15:59%20GMT	https://jiomartshop.com/category/news/	E:/jiomart_shop/jiomartshop.com/category/news/index.html	(from https://jiomartshop.com/jiomart-distributor-registration/)
00:31:39	6989/6989	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jiomart-distributor-registration/feed/	E:/jiomart_shop/jiomartshop.com/jiomart-distributor-registration/feed/index.html	(from https://jiomartshop.com/jiomart-distributor-registration/)
00:31:39	11027/11027	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2008:30:27%20GMT	https://jiomartshop.com/jiomart-order-tracking/feed/	E:/jiomart_shop/jiomartshop.com/jiomart-order-tracking/feed/index.html	(from https://jiomartshop.com/jiomart-order-tracking/)
00:31:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:38%20GMT	https://jiomartshop.com/?p=50	E:/jiomart_shop/jiomartshop.com/index6aed.html	(from https://jiomartshop.com/jiomart-distributor-registration/)
00:31:40	44150/44150	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jul%202020%2011:02:56%20GMT	https://jiomartshop.com/wp-content/uploads/2020/07/Jio-Fiber-Set-Top-Box-Registration.png	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/07/Jio-Fiber-Set-Top-Box-Registration.png	(from https://jiomartshop.com/jio-fiber-set-top-box-registration-installation-plans/)
00:31:40	57282/57282	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2013:06:52%20GMT	https://jiomartshop.com/jiomart-app-download-android-ios/	E:/jiomart_shop/jiomartshop.com/jiomart-app-download-android-ios/index.html	(from https://jiomartshop.com/jiomart-order-tracking/)
